Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2014-09-27;48050.0;16.9;15.5
2014-10-04;47901.0;16.2;14.6
2014-10-09;56556.0;17.0;13.9
2014-10-18;49122.0;18.1;12.7
2014-10-25;52035.0;13.7;11.7
2014-10-29;61625.0;12.7;11.1
2014-10-31;57585.0;14.8;10.9
2014-11-02;51408.0;14.1;10.6
2014-11-12;68289.0;10.9;9.1
2014-11-14;66811.0;10.9;8.8
2014-11-21;67750.0;10.3;7.8
2014-11-30;61159.0;8.3;6.7
2014-12-09;82588.0;4.3;5.7
2014-12-11;77800.0;8.0;5.5
2014-12-13;68753.0;7.3;5.4
2014-12-17;75655.0;8.8;5.1
2014-12-30;80778.0;1.6;4.6
2015-01-10;63456.0;11.6;4.7
2015-01-15;76655.0;8.7;4.8
2015-01-16;75864.0;6.9;4.9
2015-01-22;86689.0;2.0;5.1
2015-01-25;75441.0;3.2;5.2
2015-01-31;76185.0;3.3;5.5
2015-02-08;76945.0;3.4;6.0
2015-02-24;78722.0;5.7;6.9
2015-03-02;73226.0;9.5;7.3
2015-03-15;65127.0;6.2;8.3
2015-03-23;70195.0;7.9;9.1
2015-03-27;69376.0;8.9;9.5
2015-04-02;68495.0;9.3;10.2
2015-04-11;53239.0;12.2;11.4
2015-04-18;50059.0;12.7;12.3
2015-04-19;48924.0;11.6;12.4
2015-04-23;55328.0;14.6;12.9
2015-04-25;49419.0;14.6;13.2
2015-04-26;47522.0;13.8;13.3
2015-05-05;55474.0;16.5;14.5
2015-05-09;47776.0;16.2;15.0
2015-05-17;46192.0;15.0;15.9
2015-05-19;55932.0;12.1;16.1
2015-05-25;47135.0;15.8;16.8
2015-05-26;54962.0;14.9;16.9
2015-05-31;46273.0;16.3;17.4
2015-06-02;55532.0;18.2;17.6
2015-06-04;55984.0;21.1;17.8
2015-06-11;55975.0;21.5;18.5
2015-06-16;54321.0;17.2;19.0
2015-06-21;45715.0;19.1;19.4
2015-06-25;55536.0;20.9;19.7
2015-06-26;56014.0;22.6;19.8
2015-06-30;57755.0;25.7;20.1
2015-07-04;51151.0;26.3;20.4
2015-07-10;55837.0;22.0;20.8
2015-07-11;49444.0;22.3;20.8
2015-07-25;47510.0;19.5;21.2
2015-07-26;45689.0;17.5;21.2
2015-08-02;44657.0;21.7;21.1
2015-08-05;50993.0;22.9;21.0
2015-08-13;50185.0;22.7;20.6
2015-09-03;54037.0;15.9;18.5
2015-09-04;53467.0;15.3;18.4
2015-09-05;47306.0;15.3;18.3
2015-09-11;53984.0;17.5;17.5
2015-09-18;54698.0;15.1;16.6
2015-09-23;55963.0;13.3;16.0
2015-09-24;55859.0;14.0;15.9
2015-09-25;54852.0;14.7;15.7
2015-09-26;48585.0;14.2;15.6
2015-09-28;54607.0;14.5;15.3
2015-10-02;56796.0;12.7;14.8
2015-10-06;56280.0;17.0;14.3
2015-10-14;66133.0;7.8;13.2
2015-10-18;56216.0;10.2;12.7
2015-10-19;64798.0;10.2;12.6
2015-10-21;66035.0;10.2;12.3
2015-10-22;65337.0;11.7;12.1
2015-10-25;52999.0;12.2;11.7
2015-11-02;65630.0;11.1;10.6
2015-11-14;58481.0;10.3;8.8
2015-11-15;55299.0;12.1;8.7
2015-11-19;64704.0;14.0;8.1
2015-11-21;65613.0;6.8;7.8
2015-11-24;80414.0;3.6;7.4
2015-12-01;71557.0;10.4;6.5
2015-12-07;70281.0;10.4;5.9
2015-12-09;73672.0;7.6;5.7
2015-12-10;78411.0;4.7;5.6
2015-12-20;58186.0;11.4;4.9
2015-12-23;63971.0;10.3;4.8
2015-12-28;64922.0;8.9;4.7
2015-12-30;65666.0;8.2;4.6
2016-01-01;59488.0;7.0;4.6
2016-01-04;74625.0;7.8;4.6
2016-01-05;76979.0;7.3;4.6
2016-01-08;73741.0;7.2;4.6
2016-01-10;65537.0;7.7;4.7
2016-01-12;79504.0;6.9;4.7
2016-01-14;81428.0;4.6;4.8
2016-01-18;88731.0;0.8;4.9
2016-01-21;86203.0;1.6;5.1
2014-04-25;58094.0;13.1;13.2
2014-04-27;51112.0;11.2;13.4
2014-05-09;52514.0;15.8;15.0
2014-05-10;49839.0;14.9;15.1
2014-05-26;55448.0;14.0;16.9
2014-05-28;56618.0;13.8;17.1
2014-05-29;47880.0;15.0;17.2
2014-05-30;50887.0;16.0;17.3
2014-06-03;54518.0;16.6;17.7
2014-06-11;55169.0;21.1;18.5
2014-06-12;55678.0;22.0;18.6
2014-06-13;55610.0;21.7;18.7
2014-06-20;54838.0;19.3;19.3
2014-06-23;54504.0;20.4;19.6
2014-06-24;55230.0;20.6;19.7
2014-06-25;55039.0;19.5;19.7
2014-06-30;53396.0;17.1;20.1
2014-07-03;55920.0;22.1;20.4
2014-07-14;45587.0;18.8;21.0
2014-07-19;48694.0;23.9;21.2
2014-07-25;54496.0;21.8;21.2
2014-08-08;49758.0;20.7;20.9
2014-08-15;42904.0;16.4;20.4
2014-08-19;49380.0;16.6;20.1
2014-08-20;49580.0;15.8;20.0
2014-08-24;43583.0;16.2;19.6
2014-08-27;53817.0;19.1;19.3
2014-08-29;53683.0;19.1;19.1
2014-09-01;53260.0;17.6;18.8
2014-09-06;48355.0;19.8;18.2
2014-09-08;54681.0;20.9;17.9
2014-09-09;55069.0;19.7;17.8
2014-09-11;55071.0;17.5;17.5
2014-09-14;44704.0;18.3;17.2
2014-09-20;48544.0;19.7;16.4
2014-09-24;55327.0;13.9;15.9
2014-10-02;54456.0;17.4;14.8
2014-10-05;47222.0;13.3;14.4
2014-10-06;56686.0;13.2;14.3
2014-10-11;49664.0;15.2;13.6
2014-10-12;49238.0;15.4;13.5
2014-10-22;60473.0;10.9;12.1
2014-10-27;60579.0;12.4;11.4
2014-11-10;63747.0;9.3;9.4
2014-11-18;71354.0;8.9;8.2
2014-11-23;56452.0;12.8;7.5
2014-11-25;69223.0;11.0;7.3
2014-11-27;68834.0;10.6;7.0
2014-11-29;60834.0;10.8;6.8
2014-12-01;75673.0;6.4;6.5
2014-12-05;76430.0;5.4;6.1
2014-12-08;80161.0;5.6;5.8
2014-12-14;68695.0;5.7;5.3
2014-12-15;76808.0;6.8;5.2
2014-12-18;71609.0;11.4;5.0
2014-12-23;71540.0;6.3;4.8
2014-12-28;75174.0;1.4;4.7
2014-12-31;77382.0;1.8;4.6
2015-01-17;71824.0;4.0;4.9
2015-01-19;84285.0;2.9;5.0
2015-01-24;78009.0;2.8;5.2
2015-01-30;82105.0;3.9;5.5
2015-02-01;76292.0;3.2;5.6
2015-02-11;82946.0;3.8;6.1
2015-02-17;78965.0;5.8;6.5
2015-02-20;77258.0;6.7;6.7
2015-03-06;75701.0;6.2;7.6
2015-03-07;64740.0;7.8;7.7
2015-03-17;70602.0;9.8;8.5
2015-03-18;66813.0;10.7;8.6
2015-03-20;69812.0;8.5;8.8
2015-03-29;57936.0;11.6;9.8
2015-04-01;67864.0;9.0;10.1
2015-04-03;66430.0;9.6;10.3
2015-04-04;60520.0;9.3;10.5
2015-04-05;59030.0;7.4;10.6
2015-04-13;56312.0;14.7;11.6
2015-04-28;58371.0;10.0;13.6
2015-05-07;55870.0;13.5;14.7
2015-05-13;54356.0;17.2;15.4
2015-05-18;53990.0;14.9;16.0
2015-05-21;56752.0;12.2;16.3
2015-06-05;56846.0;23.1;17.9
2015-06-14;45226.0;18.1;18.8
2015-06-22;54518.0;18.0;19.5
2015-07-12;47003.0;20.9;20.9
2015-07-13;51714.0;21.8;20.9
2015-07-15;57144.0;23.7;21.0
2015-07-24;56046.0;22.0;21.2
2015-07-29;53479.0;17.7;21.2
2015-08-07;51500.0;23.5;20.9
2015-08-10;47768.0;21.2;20.8
2015-08-17;48052.0;17.9;20.3
2015-08-18;48909.0;17.8;20.2
2015-08-19;49307.0;18.7;20.1
2015-08-21;50691.0;22.2;19.9
2015-08-27;54746.0;19.1;19.3
2015-08-31;55575.0;22.6;18.9
2015-09-01;54922.0;18.7;18.8
2015-09-02;53683.0;16.8;18.7
2014-09-28;45564.0;17.8;15.3
2014-10-01;55225.0;17.5;15.0
2014-10-20;56526.0;16.4;12.4
2014-10-21;58615.0;15.0;12.3
2014-10-24;59481.0;12.3;11.9
2014-10-26;50341.0;13.3;11.6
2014-11-07;67107.0;9.7;9.8
2014-11-09;57514.0;9.9;9.5
2014-11-11;59400.0;10.8;9.2
2014-11-17;71309.0;8.8;8.4
2014-11-20;72011.0;8.9;7.9
2014-11-26;68930.0;11.2;7.1
2014-11-28;65632.0;12.5;6.9
2014-12-02;78045.0;5.2;6.4
2014-12-06;71060.0;5.1;6.0
2014-12-10;79714.0;6.3;5.6
2014-12-16;75809.0;7.8;5.2
2014-12-19;69037.0;10.6;5.0
2014-12-24;66752.0;7.4;4.8
2014-12-26;70630.0;4.7;4.7
2014-12-29;82243.0;-0.5;4.6
2015-01-02;75334.0;4.7;4.6
2015-01-05;82167.0;3.1;4.6
2015-01-09;75277.0;10.2;4.7
2015-01-12;77278.0;6.7;4.7
2015-01-14;77273.0;7.7;4.8
2015-01-21;85689.0;2.3;5.1
2015-01-27;82452.0;5.3;5.3
2015-01-28;82506.0;6.0;5.4
2015-01-29;82758.0;5.9;5.4
2015-02-02;86065.0;2.5;5.6
2015-02-03;88595.0;0.8;5.7
2015-02-04;90087.0;1.3;5.8
2015-02-06;91934.0;0.3;5.9
